Gene_ID	Gene_names	Otholog	Molecular_function	Biological_process	Cellular_component
HUMAN|HGNC=17217|UniProtKB=Q14689	DIP2A	Disco-interacting protein 2 homolog A;DIP2A;ortholog			
HUMAN|HGNC=4200|UniProtKB=P78537	BLOC1S1	Biogenesis of lysosome-related organelles complex 1 subunit 1;BLOC1S1;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152);regulation of transcription from RNA polymerase II promoter(GO:0044238)	
HUMAN|HGNC=1058|UniProtKB=P54132	BLM	Bloom syndrome protein;BLM;ortholog	DNA helicase activity(GO:0003824);nucleic acid binding(GO:0004386)	DNA replication(GO:0008152);DNA repair(GO:0044238);DNA recombination(GO:0006139);cell cycle(GO:0006259)	
HUMAN|HGNC=2740|UniProtKB=Q92841	DDX17	Probable ATP-dependent RNA helicase DDX17;DDX17;ortholog	RNA helicase activity(GO:0003824);translation initiation factor activity(GO:0004386);translation initiation factor activity(GO:0003724);translation initiation factor activity(GO:0005488)	nucleobase-containing compound metabolic process(GO:0008152);translation(GO:0044238);regulation of translation(GO:0006139)	
HUMAN|HGNC=17151|UniProtKB=Q9Y5N6	ORC6	Origin recognition complex subunit 6;ORC6;ortholog	DNA replication origin binding(GO:0005488)	DNA replication(GO:0008152);cell cycle(GO:0044238)	
HUMAN|HGNC=18272|UniProtKB=Q6P1Q9	METTL2B	Methyltransferase-like protein 2B;METTL2B;ortholog	methyltransferase activity(GO:0003824)	metabolic process(GO:0008152)	
HUMAN|HGNC=17292|UniProtKB=Q8IWA5	SLC44A2	Choline transporter-like protein 2;SLC44A2;ortholog	transmembrane transporter activity(GO:0005215)	transport(GO:0051179)	
HUMAN|HGNC=30511|UniProtKB=Q5BJH7	YIF1B	Protein YIF1B;YIF1B;ortholog			
HUMAN|HGNC=16889|UniProtKB=O00487	PSMD14	26S proteasome non-ATPase regulatory subunit 14;PSMD14;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	protein metabolic process(GO:0008152)	
HUMAN|HGNC=29850|UniProtKB=O75113	N4BP1	NEDD4-binding protein 1;N4BP1;ortholog	nucleic acid binding(GO:0005488)		
HUMAN|HGNC=10397|UniProtKB=P08708	RPS17	40S ribosomal protein S17;RPS17;ortholog		biosynthetic process(GO:0008152);translation(GO:0009058);cellular process(GO:0044238);organelle organization(GO:0019538);cellular component biogenesis(GO:0006412)	ribosome(GO:0032991);organelle(GO:0030529);cytosol(GO:0005840)
HUMAN|HGNC=12652|UniProtKB=P50552	VASP	Vasodilator-stimulated phosphoprotein;VASP;ortholog			
HUMAN|HGNC=9282|UniProtKB=P62140	PPP1CB	Serine/threonine-protein phosphatase PP1-beta catalytic subunit;PPP1CB;ortholog	phosphoprotein phosphatase activity(GO:0003824);phosphoprotein phosphatase activity(GO:0016787);calcium ion binding(GO:0016788)	glycogen metabolic process(GO:0008152);transcription from RNA polymerase II promoter(GO:0044238);mRNA processing(GO:0005975);protein phosphorylation(GO:0005976);mitosis(GO:0005977);cell communication(GO:0006139);response to stress(GO:0016070);regulation of carbohydrate metabolic process(GO:0006351);regulation of nucleobase-containing compound metabolic process(GO:0006366)	
HUMAN|HGNC=18786|UniProtKB=Q14320	FAM50A	Protein FAM50A;FAM50A;ortholog			
HUMAN|HGNC=31116|UniProtKB=Q5T035	C9orf129	Putative uncharacterized protein C9orf129;C9orf129;ortholog			
HUMAN|HGNC=25951|UniProtKB=Q6ULP2	AFTPH	Aftiphilin;AFTPH;ortholog			
HUMAN|HGNC=16808|UniProtKB=Q8IWV7	UBR1	E3 ubiquitin-protein ligase UBR1;UBR1;ortholog			
HUMAN|HGNC=28381|UniProtKB=Q8NHP6	MOSPD2	Motile sperm domain-containing protein 2;MOSPD2;ortholog	oxidoreductase activity(GO:0003824)	cellular amino acid metabolic process(GO:0008152);regulation of cellular amino acid metabolic process(GO:0044238)	
HUMAN|HGNC=29441|UniProtKB=Q8NI77	KIF18A	Kinesin-like protein KIF18A;KIF18A;ortholog	microtubule motor activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152);nitrogen compound metabolic process(GO:0006796);catabolic process(GO:0006807);nucleobase-containing compound metabolic process(GO:0009056);cellular component movement(GO:0044238);mitosis(GO:0006139);chromosome segregation(GO:0009987);cytoskeleton organization(GO:0006928)	protein complex(GO:0032991);cytoskeleton(GO:0043234);intracellular(GO:0043226)
HUMAN|HGNC=20439|UniProtKB=Q9BZI7	UPF3B	Regulator of nonsense transcripts 3B;UPF3B;ortholog		RNA catabolic process(GO:0008152)	
HUMAN|HGNC=16200|UniProtKB=Q9H4Z3	PCIF1	Phosphorylated CTD-interacting factor 1;PCIF1;ortholog			
HUMAN|HGNC=29243|UniProtKB=Q9P2N5	RBM27	RNA-binding protein 27;RBM27;ortholog	RNA binding(GO:0005488)		
HUMAN|HGNC=12612|UniProtKB=P54578	USP14	Ubiquitin carboxyl-terminal hydrolase 14;USP14;ortholog			organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=6183|UniProtKB=Q15811	ITSN1	Intersectin-1;ITSN1;ortholog	catalytic activity(GO:0003824);calcium ion binding(GO:0005488);protein binding(GO:0005509);small GTPase regulator activity(GO:0005515)	metabolic process(GO:0008152);synaptic transmission(GO:0009987);neurotransmitter secretion(GO:0007154);intracellular protein transport(GO:0007267);endocytosis(GO:0007268);regulation of catalytic activity(GO:0032501)	
HUMAN|HGNC=10317|UniProtKB=P62750	RPL23A	60S ribosomal protein L23a;RPL23A;ortholog	structural constituent of ribosome(GO:0005198);nucleic acid binding(GO:0003735)	translation(GO:0008152)	
HUMAN|HGNC=11439|UniProtKB=Q12846	STX4	Syntaxin-4;STX4;ortholog	cytoskeletal protein binding(GO:0005488)	synaptic transmission(GO:0009987);neurotransmitter secretion(GO:0007154);protein transport(GO:0007267);synaptic vesicle exocytosis(GO:0007268);protein localization(GO:0032501);biological regulation(GO:0044707);organelle organization(GO:0003008)	membrane(GO:0016020);protein complex(GO:0032991);cytoplasmic membrane-bounded vesicle(GO:0043234);cytoplasm(GO:0043226);synapse(GO:0016023)
HUMAN|HGNC=7995|UniProtKB=O43847	NRD1	Nardilysin;NRD1;ortholog	oxidoreductase activity(GO:0003824);metallopeptidase activity(GO:0016491);hydrolase activity, acting on ester bonds(GO:0016787)	respiratory electron transport chain(GO:0008152);proteolysis(GO:0006091)	
HUMAN|HGNC=4648|UniProtKB=Q00403	GTF2B	Transcription initiation factor IIB;GTF2B;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152);regulation of transcription from RNA polymerase II promoter(GO:0044238)	
HUMAN|HGNC=3275|UniProtKB=O00303	EIF3F	Eukaryotic translation initiation factor 3 subunit F;EIF3F;ortholog	translation initiation factor activity(GO:0005488);translation initiation factor activity(GO:0003676);translation initiation factor activity(GO:0003723)	translation(GO:0008152);cell cycle(GO:0044238);regulation of translation(GO:0019538)	
HUMAN|HGNC=11406|UniProtKB=Q13188	STK3	Serine/threonine-protein kinase 3;STK3;ortholog	protein kinase activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152);protein phosphorylation(GO:0006796);cell communication(GO:0044238);response to stimulus(GO:0019538);regulation of biological process(GO:0006464)	intracellular(GO:0044464)
HUMAN|HGNC=17500|UniProtKB=Q9H8Y8	GORASP2	Golgi reassembly-stacking protein 2;GORASP2;ortholog			
HUMAN|HGNC=14137|UniProtKB=Q9H910	HN1L	Hematological and neurological expressed 1-like protein;HN1L;ortholog			
HUMAN|HGNC=11117|UniProtKB=Q16637	SMN1	Survival motor neuron protein;SMN1;ortholog			
HUMAN|HGNC=7113|UniProtKB=Q9H000	MKRN2	Probable E3 ubiquitin-protein ligase makorin-2;MKRN2;ortholog	ubiquitin-protein ligase activity(GO:0003824)	proteolysis(GO:0008152)	
HUMAN|HGNC=3254|UniProtKB=Q9BY44	EIF2A	Eukaryotic translation initiation factor 2A;EIF2A;ortholog	nuclease activity(GO:0003824);translation initiation factor activity(GO:0016787);translation initiation factor activity(GO:0016788);translation initiation factor activity(GO:0004518)	translation(GO:0008152);regulation of translation(GO:0044238)	
HUMAN|HGNC=6598|UniProtKB=P18858	LIG1	DNA ligase 1;LIG1;ortholog	DNA ligase activity(GO:0003824)	nitrogen compound metabolic process(GO:0008152);biosynthetic process(GO:0006807);DNA replication(GO:0009058);DNA repair(GO:0044238);RNA metabolic process(GO:0006139);cellular process(GO:0006259);response to stress(GO:0006260)	intracellular(GO:0044464)
HUMAN|HGNC=11983|UniProtKB=O75674	TOM1L1	TOM1-like protein 1;TOM1L1;ortholog	kinase activity(GO:0003824);structural constituent of cytoskeleton(GO:0016740);transmembrane transporter activity(GO:0016301);protein binding(GO:0005198);kinase activator activity(GO:0005200);kinase regulator activity(GO:0005215)	metabolic process(GO:0008152);cell communication(GO:0009987);lysosomal transport(GO:0007154);protein targeting(GO:0051179);endocytosis(GO:0006810);regulation of catalytic activity(GO:0007041)	intracellular(GO:0044464)
HUMAN|HGNC=30260|UniProtKB=Q9NVS9	PNPO	Pyridoxine-5'-phosphate oxidase;PNPO;ortholog			
HUMAN|HGNC=14685|UniProtKB=Q9Y624	F11R	Junctional adhesion molecule A;F11R;ortholog	receptor activity(GO:0004872)	cellular process(GO:0009987)	
HUMAN|HGNC=2964|UniProtKB=Q13409	DYNC1I2	Cytoplasmic dynein 1 intermediate chain 2;DYNC1I2;ortholog	structural constituent of cytoskeleton(GO:0005198)	nucleobase-containing compound metabolic process(GO:0008152);cell cycle(GO:0044238);cellular component morphogenesis(GO:0006139);RNA localization(GO:0009987);intracellular protein transport(GO:0007049);vesicle-mediated transport(GO:0032502);cellular component organization(GO:0009653)	microtubule(GO:0032991);cytoskeleton(GO:0043234);intracellular(GO:0005874)
HUMAN|HGNC=33848|UniProtKB=Q86WW8	COA5	Cytochrome c oxidase assembly factor 5;COA5;ortholog			
HUMAN|HGNC=7673|UniProtKB=Q9Y618	NCOR2	Nuclear receptor corepressor 2;NCOR2;ortholog	transcription cofactor activity(GO:0000988);sequence-specific DNA binding transcription factor activity(GO:0000989);sequence-specific DNA binding transcription factor activity(GO:0003712);protein binding(GO:0001071)	transcription from RNA polymerase II promoter(GO:0008152);regulation of transcription from RNA polymerase II promoter(GO:0044238)	
HUMAN|HGNC=7640|UniProtKB=Q99733	NAP1L4	Nucleosome assembly protein 1-like 4;NAP1L4;ortholog	phosphatase activity(GO:0003824);phosphatase activity(GO:0016787);protein binding(GO:0016788);phosphatase inhibitor activity(GO:0016791);phosphatase regulator activity(GO:0016791)	apoptotic process(GO:0006915);DNA replication(GO:0008152);cell cycle(GO:0044238);apoptotic process(GO:0006139);regulation of catalytic activity(GO:0006259);chromatin organization(GO:0006260)	
HUMAN|HGNC=11330|UniProtKB=P30872	SSR1	Somatostatin receptor type 1;SSTR1;ortholog	receptor activity(GO:0004872);binding(GO:0005488)	cell-cell signaling(GO:0009987);neurological system process(GO:0007154);response to stimulus(GO:0007267);regulation of biological process(GO:0032501)	plasma membrane(GO:0016020);integral to membrane(GO:0005886);cell projection(GO:0016021)
HUMAN|HGNC=9176|UniProtKB=P49005	POLD2	DNA polymerase delta subunit 2;POLD2;ortholog	DNA-directed DNA polymerase activity(GO:0003824);nucleic acid binding(GO:0016740)	DNA replication(GO:0008152);DNA repair(GO:0044238);cell cycle(GO:0006139)	
HUMAN|HGNC=20569|UniProtKB=Q9UK58	CCNL1	Cyclin-L1;CCNL1;ortholog	transcription cofactor activity(GO:0000988);sequence-specific DNA binding transcription factor activity(GO:0000989);kinase activity(GO:0003712);sequence-specific DNA binding transcription factor activity(GO:0001071);mRNA binding(GO:0003700);protein binding(GO:0003824);kinase activator activity(GO:0016740);kinase regulator activity(GO:0016301)	transcription from RNA polymerase II promoter(GO:0008152);mRNA splicing, via spliceosome(GO:0044238);cell cycle(GO:0006139);regulation of transcription from RNA polymerase II promoter(GO:0016070);regulation of catalytic activity(GO:0006351)	nucleus(GO:0043226);intracellular(GO:0005634)
HUMAN|HGNC=3297|UniProtKB=P78344	EIF4G2	Eukaryotic translation initiation factor 4 gamma 2;EIF4G2;ortholog			
HUMAN|HGNC=11076|UniProtKB=Q15599	SLC9A3R2	Na(+)/H(+) exchange regulatory cofactor NHE-RF2;SLC9A3R2;ortholog			
HUMAN|HGNC=11033|UniProtKB=Q9Y6M7	SLC4A7	Sodium bicarbonate cotransporter 3;SLC4A7;ortholog	cation transmembrane transporter activity(GO:0005215)	cellular process(GO:0009987);cation transport(GO:0051179);anion transport(GO:0006810);homeostatic process(GO:0006811)	plasma membrane(GO:0016020);integral to membrane(GO:0005886);cell part(GO:0016021)
HUMAN|HGNC=6112|UniProtKB=P51617	IRAK1	Interleukin-1 receptor-associated kinase 1;IRAK1;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);protein kinase activity(GO:0003700);sequence-specific DNA binding transcription factor activity(GO:0003824)	immune response(GO:0002376);phosphate-containing compound metabolic process(GO:0006955);nitrogen compound metabolic process(GO:0008152);biosynthetic process(GO:0006796);transcription, DNA-dependent(GO:0006807);protein phosphorylation(GO:0009058);cell communication(GO:0044238);response to stress(GO:0006139);regulation of nucleobase-containing compound metabolic process(GO:0016070);regulation of sequence-specific DNA binding transcription factor activity(GO:0006351)	plasma membrane(GO:0016020);integral to membrane(GO:0005886);protein complex(GO:0016021);organelle(GO:0032991);intracellular(GO:0043234)
HUMAN|HGNC=25528|UniProtKB=Q9NVZ3	NECAP2	Adaptin ear-binding coat-associated protein 2;NECAP2;ortholog	ATPase activity, coupled to transmembrane movement of substances(GO:0003824);transmembrane transporter activity(GO:0016787)	metabolic process(GO:0008152);transport(GO:0051179)	
HUMAN|HGNC=8907|UniProtKB=O95394	PGM3	Phosphoacetylglucosamine mutase;PGM3;ortholog			cytoplasm(GO:0044464)
HUMAN|HGNC=2695|UniProtKB=Q16643	DBN1	Drebrin;DBN1;ortholog	structural constituent of cytoskeleton(GO:0005198);actin binding(GO:0005200)	cellular process(GO:0009987);cellular component morphogenesis(GO:0032502);cellular component organization(GO:0009653)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=26121|UniProtKB=Q96EI5	TCEAL4	Transcription elongation factor A protein-like 4;TCEAL4;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152)	
HUMAN|HGNC=29282|UniProtKB=Q9P270	SLAIN2	SLAIN motif-containing protein 2;SLAIN2;ortholog			
HUMAN|HGNC=7910|UniProtKB=P06748	NPM1	Nucleophosmin;NPM1;ortholog		rRNA metabolic process(GO:0008152)	
HUMAN|HGNC=9043|UniProtKB=Q9Y263	PLAA	Phospholipase A-2-activating protein;PLAA;ortholog	catalytic activity(GO:0003824);protein binding(GO:0005488);enzyme activator activity(GO:0005515)	lipid metabolic process(GO:0008152);regulation of catalytic activity(GO:0044238)	
HUMAN|HGNC=1100|UniProtKB=P38398	BRCA1	Breast cancer type 1 susceptibility protein;BRCA1;ortholog	ligase activity(GO:0003824)	nitrogen compound metabolic process(GO:0008152);biosynthetic process(GO:0006807);DNA repair(GO:0009058);DNA recombination(GO:0044238);transcription from RNA polymerase II promoter(GO:0006139);fatty acid biosynthetic process(GO:0006259);protein acetylation(GO:0006281);cellular component movement(GO:0006310);cell cycle(GO:0016070);cell proliferation(GO:0006351);locomotion(GO:0006366);response to stress(GO:0006629);localization(GO:0006631);regulation of transcription from RNA polymerase II promoter(GO:0006633);regulation of cell cycle(GO:0019538);chromatin organization(GO:0006464)	membrane(GO:0016020);protein complex(GO:0032991);nucleus(GO:0043234);intracellular(GO:0043226);cell projection(GO:0005634)
HUMAN|HGNC=10762|UniProtKB=Q53H47	SETMAR	Histone-lysine N-methyltransferase SETMAR;SETMAR;ortholog			
HUMAN|HGNC=7043|UniProtKB=O43451	MGA	Maltase-glucoamylase, intestinal;MGAM;ortholog	glucosidase activity(GO:0003824)	polysaccharide metabolic process(GO:0008152);monosaccharide metabolic process(GO:0044238);cellular protein modification process(GO:0005975)	
HUMAN|HGNC=8554|UniProtKB=P11940	PABPC1	Polyadenylate-binding protein 1;PABPC1;ortholog		ectoderm development(GO:0032502);nervous system development(GO:0007398)	
HUMAN|HGNC=29830|UniProtKB=Q9H0A0	NAT10	N-acetyltransferase 10;NAT10;ortholog			
HUMAN|HGNC=7410|UniProtKB=Q13330	MTA1	Metastasis-associated protein MTA1;MTA1;ortholog	DNA binding(GO:0005488);chromatin binding(GO:0003676)	transcription from RNA polymerase II promoter(GO:0008152);mRNA transcription(GO:0044238);mRNA transcription(GO:0006139);cellular process(GO:0016070)	
HUMAN|HGNC=30296|UniProtKB=Q8IY67	RAVER1	Ribonucleoprotein PTB-binding 1;RAVER1;ortholog	catalytic activity(GO:0003824);mRNA binding(GO:0005488)	RNA splicing, via transesterification reactions(GO:0008152);transcription from RNA polymerase II promoter(GO:0044238);mRNA splicing, via spliceosome(GO:0006139);RNA splicing, via transesterification reactions(GO:0016070);regulation of transcription from RNA polymerase II promoter(GO:0000375)	
HUMAN|HGNC=3261|UniProtKB=Q13144	EIF2B5	Translation initiation factor eIF-2B subunit epsilon;EIF2B5;ortholog	nucleotidyltransferase activity(GO:0003824);translation initiation factor activity(GO:0016740);translation initiation factor activity(GO:0016779);protein binding(GO:0005488);small GTPase regulator activity(GO:0003676);guanyl-nucleotide exchange factor activity(GO:0003723);translation initiation factor activity(GO:0008135)	phospholipid metabolic process(GO:0008152);glycogen metabolic process(GO:0006796);monosaccharide metabolic process(GO:0006644);phospholipid metabolic process(GO:0044238);translation(GO:0005975);regulation of translation(GO:0005976);regulation of catalytic activity(GO:0005977)	
HUMAN|HGNC=6869|UniProtKB=Q14244	MAP7	Ensconsin;MAP7;ortholog		cellular process(GO:0009987);cytoskeleton organization(GO:0071840)	cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=1742|UniProtKB=P50851	LRBA	Lipopolysaccharide-responsive and beige-like anchor protein;LRBA;ortholog			
HUMAN|HGNC=20076|UniProtKB=Q96K76	USP47	Ubiquitin carboxyl-terminal hydrolase 47;USP47;ortholog			organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=11386|UniProtKB=Q13586	STIM1	Stromal interaction molecule 1;STIM1;ortholog			
HUMAN|HGNC=10769|UniProtKB=Q13435	SF3B2	Splicing factor 3B subunit 2;SF3B2;ortholog			
HUMAN|HGNC=17018|UniProtKB=Q9Y6Y8	SEC23IP	SEC23-interacting protein;SEC23IP;ortholog	phospholipase activity(GO:0003824)	metabolic process(GO:0008152);intracellular protein transport(GO:0051179);vesicle-mediated transport(GO:0006810)	
HUMAN|HGNC=14063|UniProtKB=P56524	HDAC4	Histone deacetylase 4;HDAC4;ortholog	oxidoreductase activity(GO:0003824);deacetylase activity(GO:0016491);nucleic acid binding(GO:0016787)	apoptotic process(GO:0006915);transcription from RNA polymerase II promoter(GO:0008152);cell cycle(GO:0044238);apoptotic process(GO:0006139);regulation of transcription from RNA polymerase II promoter(GO:0016070);negative regulation of apoptotic process(GO:0006351);chromatin organization(GO:0006366)	
HUMAN|HGNC=11291|UniProtKB=P11831	SRF	Serum response factor;SRF;ortholog			
HUMAN|HGNC=11827|UniProtKB=Q07157	TJP1	Tight junction protein ZO-1;TJP1;ortholog		cellular process(GO:0009987);anatomical structure morphogenesis(GO:0032502)	plasma membrane(GO:0016020);cell part(GO:0005886)
HUMAN|HGNC=17950|UniProtKB=Q969J3	LOH12CR1	Loss of heterozygosity 12 chromosomal region 1 protein;LOH12CR1;ortholog			
HUMAN|HGNC=10542|UniProtKB=O95248	SBF1	Myotubularin-related protein 5;SBF1;ortholog		phospholipid metabolic process(GO:0008152);phospholipid metabolic process(GO:0006796);intracellular protein transport(GO:0006644);vesicle-mediated transport(GO:0044238)	
HUMAN|HGNC=29413|UniProtKB=Q6NYC8	PPP1R18	Phostensin;PPP1R18;ortholog			
HUMAN|HGNC=14103|UniProtKB=O15013	ARHGEF10	Rho guanine nucleotide exchange factor 10;ARHGEF10;ortholog	cysteine-type peptidase activity(GO:0003824)	proteolysis(GO:0008152)	
HUMAN|HGNC=25548|UniProtKB=Q9NVR2	INTS10	Integrator complex subunit 10;INTS10;ortholog			
HUMAN|HGNC=29531|UniProtKB=Q6PKG0	LARP1	La-related protein 1;LARP1;ortholog	RNA binding(GO:0005488)	tRNA metabolic process(GO:0008152)	ribonucleoprotein complex(GO:0032991)
HUMAN|HGNC=12950|UniProtKB=Q15637	SF1	Splicing factor 1;SF1;ortholog	transcription cofactor activity(GO:0000988);sequence-specific DNA binding transcription factor activity(GO:0000989);catalytic activity(GO:0003712);sequence-specific DNA binding transcription factor activity(GO:0001071);mRNA binding(GO:0003700);protein binding(GO:0003824)	RNA splicing, via transesterification reactions(GO:0008152);mRNA splicing, via spliceosome(GO:0044238);RNA splicing, via transesterification reactions(GO:0006139)	
HUMAN|HGNC=28970|UniProtKB=Q14156	EFR3A	Protein EFR3 homolog A;EFR3A;ortholog			
HUMAN|HGNC=31685|UniProtKB=Q9NQA3	WASH6P	WAS protein family homolog 6;WASH6P;ortholog			
HUMAN|HGNC=33451|UniProtKB=Q6PK04	CCDC137	Coiled-coil domain-containing protein 137;CCDC137;ortholog			
HUMAN|HGNC=1099|UniProtKB=Q7Z569	BRAP	BRCA1-associated protein;BRAP;ortholog	ligase activity(GO:0003824);protein binding(GO:0016874)	cellular protein modification process(GO:0008152);cellular process(GO:0044238)	protein complex(GO:0032991);intracellular(GO:0043234)
HUMAN|HGNC=30265|UniProtKB=Q6WKZ4	RAB11FIP1	Rab11 family-interacting protein 1;RAB11FIP1;ortholog	protein binding(GO:0005488)	cellular process(GO:0009987);exocytosis(GO:0051179)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=29545|UniProtKB=Q9H7L9	SUDS3	Sin3 histone deacetylase corepressor complex component SDS3;SUDS3;ortholog			
HUMAN|HGNC=25008|UniProtKB=Q9NWV8	BABAM1	BRISC and BRCA1-A complex member 1;BABAM1;ortholog			
HUMAN|HGNC=16509|UniProtKB=Q9Y2D8	SSX2IP	Afadin- and alpha-actinin-binding protein;SSX2IP;ortholog		cellular process(GO:0009987);cell adhesion(GO:0022610)	
HUMAN|HGNC=3750|UniProtKB=Q13045	FLII	Protein flightless-1 homolog;FLII;ortholog	structural constituent of cytoskeleton(GO:0005198);calcium ion binding(GO:0005200);actin binding(GO:0005488)	cellular process(GO:0009987);cellular component organization(GO:0071840)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=29169|UniProtKB=Q9Y2L5	TRAPPC8	Trafficking protein particle complex subunit 8;TRAPPC8;ortholog		catabolic process(GO:0008152);protein metabolic process(GO:0009056);cell communication(GO:0044238);response to stress(GO:0019538);response to external stimulus(GO:0009987);protein targeting(GO:0007154);vesicle-mediated transport(GO:0050896);protein localization(GO:0006950);organelle organization(GO:0009605);cellular component biogenesis(GO:0051179)	protein complex(GO:0032991);Golgi apparatus(GO:0043234);cytoplasm(GO:0043226)
HUMAN|HGNC=9771|UniProtKB=Q13636	RAB31	Ras-related protein Rab-31;RAB31;ortholog			
HUMAN|HGNC=3592|UniProtKB=Q9Y285	FARSA	Phenylalanine--tRNA ligase alpha subunit;FARSA;ortholog			
HUMAN|HGNC=18641|UniProtKB=Q8IX01	SUGP2	SURP and G-patch domain-containing protein 2;SUGP2;ortholog	catalytic activity(GO:0003824);mRNA binding(GO:0005488)	RNA splicing, via transesterification reactions(GO:0008152);mRNA splicing, via spliceosome(GO:0044238);RNA splicing, via transesterification reactions(GO:0006139)	
HUMAN|HGNC=17821|UniProtKB=O00148	DDX39A	ATP-dependent RNA helicase DDX39A;DDX39A;ortholog	RNA helicase activity(GO:0003824);translation initiation factor activity(GO:0004386);translation initiation factor activity(GO:0003724);translation initiation factor activity(GO:0005488)	nucleobase-containing compound metabolic process(GO:0008152);translation(GO:0044238);regulation of translation(GO:0006139)	
HUMAN|HGNC=11469|UniProtKB=O00267	SUPT5H	Transcription elongation factor SPT5;SUPT5H;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700);chromatin binding(GO:0005488)	transcription from RNA polymerase II promoter(GO:0008152);cellular process(GO:0044238)	
HUMAN|HGNC=24808|UniProtKB=O14545	TRAFD1	TRAF-type zinc finger domain-containing protein 1;TRAFD1;ortholog			
HUMAN|HGNC=10565|UniProtKB=O14828	SCAMP3	Secretory carrier-associated membrane protein 3;SCAMP3;ortholog	transferase activity(GO:0003824)	metabolic process(GO:0008152);intracellular protein transport(GO:0051179);exocytosis(GO:0006810);endocytosis(GO:0015031)	
HUMAN|HGNC=29024|UniProtKB=O15084	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A;ANKRD28;ortholog			
HUMAN|HGNC=56|UniProtKB=O15440	ABCC5	Multidrug resistance-associated protein 5;ABCC5;ortholog		immune system process(GO:0002376)	
HUMAN|HGNC=2769|UniProtKB=O43583	DENR	Density-regulated protein;DENR;ortholog	nuclease activity(GO:0003824);translation initiation factor activity(GO:0016787);translation initiation factor activity(GO:0016788);translation initiation factor activity(GO:0004518)	translation(GO:0008152);regulation of translation(GO:0044238)	
HUMAN|HGNC=11101|UniProtKB=O60264	SMARCA5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;SMARCA5;ortholog			
HUMAN|HGNC=14524|UniProtKB=O60271	SPAG9	C-Jun-amino-terminal kinase-interacting protein 4;SPAG9;ortholog	protein kinase activity(GO:0003824);structural molecule activity(GO:0016740);cytoskeletal protein binding(GO:0016301)	phosphate-containing compound metabolic process(GO:0008152);protein phosphorylation(GO:0006796);cell communication(GO:0044238);response to stress(GO:0019538);transport(GO:0006464);regulation of phosphate metabolic process(GO:0006468);regulation of catalytic activity(GO:0009987)	intracellular(GO:0044464)
HUMAN|HGNC=240|UniProtKB=O60503	ADCY9	Adenylate cyclase type 9;ADCY9;ortholog	adenylate cyclase activity(GO:0003824);guanylate cyclase activity(GO:0016829)	cyclic nucleotide metabolic process(GO:0008152)	
HUMAN|HGNC=22199|UniProtKB=O75128	COBL	Protein cordon-bleu;COBL;ortholog		ectoderm development(GO:0032502);nervous system development(GO:0007398)	
HUMAN|HGNC=22203|UniProtKB=O94880	PHF14	PHD finger protein 14;PHF14;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152)	
HUMAN|HGNC=1580|UniProtKB=O95067	CCNB2	G2/mitotic-specific cyclin-B2;CCNB2;ortholog	kinase activity(GO:0003824);protein binding(GO:0016740);kinase activator activity(GO:0016301);kinase regulator activity(GO:0005488)	spermatogenesis(GO:0000003);metabolic process(GO:0007276);mitosis(GO:0007283);regulation of catalytic activity(GO:0008152)	
HUMAN|HGNC=12500|UniProtKB=O95155	UBE4B	Ubiquitin conjugation factor E4 B;UBE4B;ortholog	catalytic activity(GO:0003824);protein binding(GO:0005488);enzyme regulator activity(GO:0005515)	proteolysis(GO:0008152);regulation of catalytic activity(GO:0044238)	
HUMAN|HGNC=5959|UniProtKB=O95163	IKBKAP	Elongator complex protein 1;IKBKAP;ortholog	kinase activity(GO:0003824);protein binding(GO:0016740);kinase activator activity(GO:0016301);kinase regulator activity(GO:0005488)	metabolic process(GO:0008152);cell communication(GO:0009987);response to stimulus(GO:0007154);asymmetric protein localization(GO:0050896);regulation of catalytic activity(GO:0051179)	
